ThreadNum, RefundAvgLatency(ns), BuyAvgLatency(ns), InquiryAvgLatency(ns), Throughout(TPS)
ThreadNum, RefundAvgLatency(ns), BuyAvgLatency(ns), InquiryAvgLatency(ns), Throughout(TPS)
4, 3094, 2420, 121, 780519
8, 578, 334, 65, 3899187
16, 391, 322, 91, 2574867
32, 555, 458, 50, 2762844
64, 614, 535, 39, 2652901
ThreadNum, RefundAvgLatency(ns), BuyAvgLatency(ns), InquiryAvgLatency(ns), Throughout(TPS)
4, 2651, 2427, 113, 779985
8, 2546, 939, 69, 5058678
16, 525, 358, 67, 2762149
32, 553, 866, 76, 2746466
64, 259, 580, 40, 2838117
ThreadNum, RefundAvgLatency(ns), BuyAvgLatency(ns), InquiryAvgLatency(ns), Throughout(TPS)
4, 3149, 2087, 184, 788583
8, 903, 849, 77, 4857548
16, 3261, 565, 244, 2937326
32, 495, 528, 69, 2765077
64, 390, 691, 49, 2939130
ThreadNum, RefundAvgLatency(ns), BuyAvgLatency(ns), InquiryAvgLatency(ns), Throughout(TPS)
4, 3077, 1984, 124, 802228
8, 583, 282, 62, 4553772
16, 1757, 336, 60, 2551699
32, 376, 272, 63, 2620699
64, 258, 329, 38, 2722130
ThreadNum, RefundAvgLatency(ns), BuyAvgLatency(ns), InquiryAvgLatency(ns), Throughout(TPS)
4, 2493, 2615, 124, 803750
8, 1837, 367, 64, 5683934
16, 1477, 1183, 168, 3135525
32, 1643, 2944, 100, 3273526
64, 632, 668, 36, 2523455
ThreadNum, RefundAvgLatency(ns), BuyAvgLatency(ns), InquiryAvgLatency(ns), Throughout(TPS)
4, 3480, 2355, 109, 808467
8, 622, 1166, 67, 4397412
16, 402, 298, 82, 2604460
32, 340, 434, 80, 2718560
64, 268, 187, 44, 2546131
ThreadNum, RefundAvgLatency(ns), BuyAvgLatency(ns), InquiryAvgLatency(ns), Throughout(TPS)
4, 2538, 2465, 97, 802851
8, 777, 316, 64, 4417691
16, 536, 224, 62, 2763521
32, 368, 476, 76, 2293394
64, 426, 232, 89, 2647442
ThreadNum, RefundAvgLatency(ns), BuyAvgLatency(ns), InquiryAvgLatency(ns), Throughout(TPS)
4, 2561, 2025, 109, 799760
8, 702, 1112, 68, 4869376
16, 422, 451, 96, 2568694
32, 399, 2403, 61, 2507293
64, 1254, 1174, 45, 2566271
ThreadNum, RefundAvgLatency(ns), BuyAvgLatency(ns), InquiryAvgLatency(ns), Throughout(TPS)
4, 2546, 2501, 101, 806117
8, 755, 397, 79, 6059942
16, 366, 403, 122, 2477780
32, 701, 437, 46, 2451585
64, 331, 477, 37, 2672871
ThreadNum, RefundAvgLatency(ns), BuyAvgLatency(ns), InquiryAvgLatency(ns), Throughout(TPS)
4, 2952, 2223, 110, 794166
8, 553, 309, 65, 3696928
16, 7538, 1097, 73, 2323361
32, 345, 407, 50, 2775221
64, 885, 605, 36, 2604959
ThreadNum, RefundAvgLatency(ns), BuyAvgLatency(ns), InquiryAvgLatency(ns), Throughout(TPS)
4, 2766, 2445, 110, 778617
8, 3472, 324, 64, 4778480
16, 505, 462, 57, 2453023
32, 442, 3550, 70, 2422810
64, 246, 299, 39, 2704448
ThreadNum, RefundAvgLatency(ns), BuyAvgLatency(ns), InquiryAvgLatency(ns), Throughout(TPS)
4, 4047, 2429, 141, 759856
8, 1420, 1957, 72, 4930463
16, 3378, 340, 60, 2672630
32, 456, 336, 108, 2727160
64, 269, 281, 40, 3381555
ThreadNum, RefundAvgLatency(ns), BuyAvgLatency(ns), InquiryAvgLatency(ns), Throughout(TPS)
4, 2499, 2458, 133, 822840
8, 623, 363, 65, 5551290
16, 793, 519, 59, 2612904
32, 507, 3284, 86, 2618471
64, 335, 377, 35, 2597088
ThreadNum, RefundAvgLatency(ns), BuyAvgLatency(ns), InquiryAvgLatency(ns), Throughout(TPS)
4, 3034, 2429, 134, 752948
8, 1622, 531, 75, 3683898
16, 2811, 693, 57, 2573242
32, 350, 1145, 78, 2817037
64, 450, 207, 36, 2511559
ThreadNum, RefundAvgLatency(ns), BuyAvgLatency(ns), InquiryAvgLatency(ns), Throughout(TPS)
4, 2922, 2283, 103, 797580
8, 637, 365, 65, 4377839
16, 404, 364, 64, 2271209
32, 360, 231, 47, 2679008
64, 356, 337, 46, 2606084
ThreadNum, RefundAvgLatency(ns), BuyAvgLatency(ns), InquiryAvgLatency(ns), Throughout(TPS)
4, 2413, 2584, 128, 801524
8, 818, 693, 84, 5524837
16, 2082, 624, 119, 2862916
32, 1530, 237, 60, 2478214
64, 778, 1000, 43, 2565143
ThreadNum, RefundAvgLatency(ns), BuyAvgLatency(ns), InquiryAvgLatency(ns), Throughout(TPS)
4, 2982, 2261, 126, 798850
8, 679, 275, 65, 4441098
16, 445, 464, 63, 2618294
32, 419, 327, 351, 2744871
64, 777, 1567, 39, 2455580
ThreadNum, RefundAvgLatency(ns), BuyAvgLatency(ns), InquiryAvgLatency(ns), Throughout(TPS)
4, 3271, 1993, 137, 820697
8, 751, 1484, 65, 4469484
16, 395, 402, 73, 2549684
32, 2124, 3915, 63, 2390433
64, 347, 200, 36, 2529980
ThreadNum, RefundAvgLatency(ns), BuyAvgLatency(ns), InquiryAvgLatency(ns), Throughout(TPS)
4, 2813, 2674, 117, 775828
8, 689, 334, 65, 4396095
16, 760, 362, 74, 2505567
32, 1687, 629, 64, 2651040
64, 287, 531, 40, 2931086
ThreadNum, RefundAvgLatency(ns), BuyAvgLatency(ns), InquiryAvgLatency(ns), Throughout(TPS)
